id~geo_id~pop~case_count~hosp_count~death_count~total_hosp_incidental~pcr_test_count~pcr_test_pos_count~pcr_test_pos_percent
"Auburn, Kent, and Federal Way"~340086.555~101438~4068~837~1227~932441~93691~10.04792797
"Bellevue, Issaquah and Mercer Island"~252479.194~49977~1105~311~409~804990~46295~5.751003118
"Burien, Renton, Tukwila and Seatac"~266259.967~71761~2321~476~753~830583~66265~7.978131024
Central Seattle~267622.568~54743~1086~228~600~1281844~51786~4.039961181
East King County~174324.408~27188~496~118~217~396253~23865~6.022667336
"Kirklan, Redmond, Bothell, and Woodinville"~239323.682~43389~1135~306~407~649962~39611~6.094356285
N Seattle and Shoreline~363355.508~77933~1390~402~637~1687566~74263~4.400598258
South East King County~138698.073~32883~946~190~299~361053~30555~8.462746467
Vashon Island~10850.47~993~24~5~8~25290~673~2.661130882
"W Seattle, S Seattle, Delridge and Highline"~207799.575~51665~1406~347~523~876881~48938~5.580916909
